Ulasan,Rating
"Mohon bantuannya, mengapa akun saya tidak terdaftar? Saya login menggunakan nomor dan e mail yang benar, namun tidak terdeteksi akun saya Tidak dapat di buka melalui pc maupun hp Saya ingin kembali login ke akun saya",5
"sekarang akun gampang banget tiba2 kena suspen, tapi akun judol dan yang gajelas malah dipelihara.",1
sangat baguss,5
x gj skrng mkin gj gua ga ngapa ngapain tb tb akun ilang apalagi pas mau masukin email baru malah kesalahan teknis mulu padahal ni wifi juga bagus bagus aje bikin kesel,1
apk taii gaa guna tolol,1
"akun aku gak ada salah kena suspend apalah, perbaiki nih aplikasi",1
pea malah di tangguhkan padahal gak ngapa ngapain,1
ribet buat akun aja susah,1
GK bisa login,1
login nya dipersulit bgt dah.,1
kelebihan kualitas mantap jos,5
Bagus.. Kl bs postingan jgn yg susah di buka,4
membantu,5
aangat menyukainya,5
okey banget,5
aplikasi gjls ga bisa login,1
Ga jelas,5
"Tolong tingkatkan help centernya, akun saya tiba-tiba kena suspend tapi help centernya tidak membantu. Lalu bagaimana saya bisa mengembalikan akun saya??",1
"X sekarang terlalu ribet, balikin x seperti dulu yang ga nyusahin pengguna nya!!!!",1
kenapa x ini dkit2 penangguhan,4
"Aplikasi modern, sangat mudah digunakan.",5
Slama g log in sekarang jadi ribet.,1
"kok sekarang aplikasi ini sering keblock akun secara tiba tiba tanpa ada alasan ,aneh ??!!",3
apk ny suka eror tolong di perbaiki lagi karena di saya bertuliskan kesalahan teknis❗❗busettt eror mulu nih apk pasti gara gara kasus yg di konoha 😹,1
aplikasi yang sangat bagus dan update,5
"akun saya di tanggukan, padahal saya tidak melakukan pelanggaran-pelanggaran,",1
tidak mudah di gunakan,1
terupdate mengenai berita terkini di seluruh dunia,5
"ayolah bung, saat saya ingin kembali ke akun lama saya malah tidak bisa, erorrrr selalu. beberapa akun saya juga tiba tiba menghilang, apakah ada yang ingin bilang ini apk bagus. hell nahh tentu saja tidak apk ini lambat laun menjadi tidak berguna",1
udh berapaa kali bikin akun X tapi tetap di tangguhkan. padahal ga ngelakuin apa² di X. makin aneh sekarang X kita kaya di paksa ikut yg berbayar sama update yang ga guna di apk... mending dulu pas jaman nya Twitter,1
terlalu banyak iklan judinya,1
"sering eror, dm susah dibuka, ga muncul notif",1
apiknya bagus. tapi akun saya ditangguhkan,5
akun saya di-suspend cuma melihat berita pembunuhan di suspend,1
"aplikasi rusak, ngak niat bikin aplikasi",1
"ga jelas, tiba-tiba suspend. ga ada posting yg ngelanggar. ga kaya Twitter jaman dulu👎🏼",1
g mutu,1
knapa punya saya di tangguh kan,4
apkmu iki yokpo kok raiso dileboni akunn,1
aku ketemu pedofil di x,1
mantap buat berita terbarunya,5
seru,5
"loading nya lama banget nih, mana akun duka keluar sndr gjls. tolong dong PERBAIKI ya, terimakasih.",1
semua mengeluh account nya terkena suspend permanently ayok sama sama kasih bintang satu biar keluhan kita di tanggapi kalau perlu di hapus app ini dari PlayStore,1
"Gw cuma fokus liat berita malah kena penangguhan akun padahal cuma repost aja, di buka malah gk bisa mulu dh apk busuk",1
lemahh,1
"aneh nih apk skrng, orang gak ngapa ngapain, enak enak scroll, tiba tiba akun di suspend",1
cacat akun kekunci mulu,5
masa ga bisa login kenapa yaa,3
akun saya ditangguhkan. dan lama sekali menunggu responnya padahal sudah saya ajukan banding,1
mantaps,5
aplikasi ini sangat bagus dan nyaman,5
ban my account without a reason,1
"Selama memakai apk X / Twitter ini banyak fitur yang menarik dan keren. Bisa saling follow dan berteman dengan pengguna lainnya. Belum ada kendala sih, Good Job👍🏿",5
"tbtb logout sendiri terus pas login ulang malah gbs, ktnya error. padahal di web bisa",1
apl ini tak laku makanya slalu di tangguhka,1
"Give me back my account which you are still suspending for, it's been a long time but you are still suspending it pls remove the charge pls, I did nothing wrong Elon.",1
kenapa susah buat daftar akun sama buka akun ya.?,3
ini aplikasinya kenapa ya?udah login pakai sandi yang betul masih aja susah bgt buat login sampai bbrp kali.terus ditinggal sebentar eh mau buka lagi akun saya malah disuruh login terus apaan maksudnya kayak gitu.coba diperbaiki woyyyy,1
buruk,5
"Tolong di perbaiki, aku ga ngapain² tiba-tiba keluar dari akun ku. Mau masuk akun itu lagi, tapi ga bisa.",2
"Why comments, followers/following, threads can't be scroll down full till the last? please fix this, thanks",3
"pake web bisa masuk tapi pake apk setelah update susah banget buat masuk, aplikasi tambah jelek semenjak di beli elon",1
"horrible. you suspend account so easily for no reasons and now this ""Chat"" feature is so useless. it makes everything horrible.",1
Aplikasi ini mantap 👍👍👍👍,5
"tidak bisa login, tidak bisa daftar ulang, tidak bisa bikin akun",1
ga bisa buat akunnya cape aku udh buat namanya malah salah' mulu kaga bisa diapa'in lagi,1
jelek jelek jelek gabisa login,1
sampah,1
"akun saya selalu di tangguhkan,padahal sy tidak melakukan pelanggaran apa"", tolong kembalikan ke semula, please 🙏",5
akun tiba tiba di tanggukan dan sudah mengajukan banding help center nga membantu,1
"aplikasi tempek ga seperti dulu, akun selalu hilang saat udah rame",1
tidak ada kendala,5
"aplikasi Twitter akhir akhir ini sangat jelas, keluar terus untuk login pas login tidak bisa masuk keterangan login eror",1
"ini kenapa dengan x saya ya????? saya selalu buka obrolan harus pakai sandi, sandinya bener tapi habis itu selalu keluar aplikasi....",3
knp gk bisa yh daftar nya,1
suspen aja terus.. gak jelas banget.. papar kan kesalahan nya apa? indikasi apa? gak tau apa2 suspen,1
suka tetap 😊,5
ge jelas mau ganti passwordngabisa bisa,1
semoga segera di buka listing,5
toppppppppppp,5
"dikit dikit suspend, orang ga salah apa apa di suspend",1
"5.4/10| App ini diberikan rating 12+ dan saya berumur 15 tahun, namun saya mendapat tweet dimana ada kata rasis di beranda saya, saya menggunakan app ini hanya untuk mencari artist gambar saja. Dan tolong algoritmanya diperketat tentang konten-konten yang sensitif di beranda kepada pengguna yang diketahui berumur 13 tahun.",3
tolol,1
"semua akun ditangguhin , kocak",1
banyak bokep nya 🥲,5
aplikasi x sangat bagus semoga semakin baik kedepanya,5
ga jelas cari nama orang ga bisa padahal sinyal bagus,1
"apk gajelas, padahal nama pengguna udah bener, tpi masih gabisa login, klo mau verifikasi keamanan ya ga usah sampe segitunya lah, orang jdi pusing tau ga",1
aplikasi eror...aku tak pernah otak Atik eh pas buka tiba2 akun anda di tangguh kan! lol mau aju banding malah gx bisa..,1
"Aplikasi TERBURUK,saat lagi daftar menggunakan google,lalu idi nama pengguna salah terus,sudah berulang kali salah.",1
apk gajelas,1
Baik,5
"udh punya akun Twitter tapi mau login butuh verifikasi aku lupa semua,abis itu pas mau buat akun baru tulisan nya terjadi kesalahan terusss",1
"aplikasi yg sangat buruk mengecewakan, akun selalu di tangguhkan, nyesal install aplikasi ini",1
Ok...,4
"twiterr sekarang busuk,, udah 2 akun tiba2 di tangguh kan. help center jg nggak berguna. mending hapus aja aplikasi busuk",1
aplikasi ga jelas kaya kanjuttt,1
blok block.. use threads better,1
tidak dapat di install,1
"sangat2 buruk sekali lebih nyaman twiter dri pada x ini makin buruk tiba2 akun di tanguhkan permanen tanpa ada kesalahan apapun ,,",1
"aduhh, gadulu dehh. aplikasi nya gajelas, wifi udh bagus, ga ada apa-apa, tapi ga bisa daftar, udah nunggu lama biar bisa daftar lagi eh sama aja, perbaikin lah minimal, gajelas bgt",1
jelek sekarang,2
"aplikasi jelek,kacau banget parah",1
cukup bermanfaat,5
Not friendly social media 💫👎,1
ga jelas nhent0t di tanguhin mulu akun gw,1
kurang memuaskan bos,2
"banyak bug, tidak semenarik dan sebebas yang dulu, terlalu banyak limit di dm",1
Update banget,5
Semenjak ganti nama twiter ini hancur,1
niatnya sih mw login ke akun yg ditangguhkan tpi pas udh smpe ke titik mau masuk malah gabisa jujur Twitter agak ngeselin yh sekarang,1
"tiba2 akun gak bisa di buka, padahal akun udh buat dari 2013, dan buat lagi, tiba2 di tangguhkan, aneh Bner ni X, ganti aja namanya ke Twitter aja, biar bner lagi",1
"orang orang nya IQ tinggi semua,ka",5
tidak bisa membuat akun,1
ga bagus.. account logout,1
iklan nya parah,5
jangan di download karena nanti akun kalian gk bisa di masukin lagi,2
"aplikasi gjls, sering eror buat login ulang ga bisa katanya kesalahan teknis. padahal udh lebih dari 2 Minggu tapi tetep ga bisa, pls deh kenapa si sering kaya gini???",1
banyak menpaat,5
banyak pengetahuan dan pengalaman memberikan wawasa,4
aplikasi x merugikan,1
tidak bisa login,1
"akun sering ditangguhkan, lagi enak baca informasi terbaru malah logout sendiri, gak jelas lagi ditangguhkan kenapa",1
"aplikasi ga guna, masa dikit dikit logout, udh gitu sampe kena penangguhan gila, aplikasi ga bermutu",1
aplikasi yang sangat membantu contohnya untuk suport aplikasi-aplikasi lain yang membutuhkan dukungan X twitter,5
gak bisa ganti nama astaga kenapa sih?,1
"kenapa mendadak akun saya kena suspend, padahal saya tidak pernah komen, saya hanya pakai akun buat pantau timeline artis favorit saya",2
aplikasi yang bagus,5
"I like this app, but sometimes this app is running out",4
lumayan bagus,3
"bagus ga terlalu nge lag tapi kalau scroll di X suka ke atas sendiri ya sebagian orang udah tau lah ya gimana, minusnya nama pengguna nya susah banget di ganti sampai² kesel bngt aku padahal baru banget loh aku download semoga bisa di perbaikin lagi ya😔😔💔",4
"pls lah, bug keluar dari aplikasi",1
tdk bagus karena tdk bisa dibuka,1
"NGGAK BISA BIKIN AKUN PLC KENAPASIEEE.... DIBENAHINN DONGGG, ULASAN KEK GINI JANGAN DILIAT DOANG YY",1
"gjls suka tbtb di ban, pdhl ga ngelanggar aturan!",1
apl ny bgus..tpi knp susah masuk dn sllu d tangguhkan akun..mohon d apgrade dong kang Elon !!,3
"Akun selalu ditangguhkan, diblokir setiap buat akun baru eror apa iya x resmi di blokir pemerintah Indonesia ?",1
bagus,3
aneh akun aman² aja di tangguk kan tel lah cok,2
scam,1
Sangat senang bisa mudah dicari,4
"akun utama buat kerja ,eh tiba tiba akun ditangguhkan....Lol lah.... mana udah complain tetep aja...",1
"aplikasi kuntul, di tangguhkan terus akun ku,, padahal gak posting apa apa",1
aplikasi jeleeeeek ga ada guna pisan kasih 1 bintang dah bagus banget,1
Good job Akunku hampir 3 kali hilang,5
Ok,5
"apk munafik, paling munafik yang pernah saya liat dan say rasakan, , bentar bentar akun di tangguhkan bilang aja suruh bayar langganan 🤣🤣🤣🤣",1
tolong segera perbaiki!,5
aplikasinya ok banget,5
aplikasi sampah akun di tangguh kan terus udah 10 akun selalu di tangguh kan padahal tidak pernah memposting apapun.semejnjak elon mask punya aplikasi ini jadi tidak jelas,1
Bug logout benerin napa woy..jadi gedek lama lama kalo buka aplikasi malah logout,5
"sangat buruk, selalu akun di tangguhkan",1
Ampass!!Gak jelas gk bisa login.,1
"gk jelas 2x bikin akun ke logout terus, padahal akun baru gk pernah spam atau ngelakuin hal anek konyol",1
semakin buruk saja,1
sekrang susah loging,3
tidak jelas ni apk,1
gabisa masuk !,1
"apasih orang gaada ngapain tiba"" akun ditangguhkan padahal akun ga isi postingan,ga pernah komen malah ditangguhkan, ngajukan banding juga gabisa payah banget",1
Mantap,5
"aplikasi sampah, dikit2 ditangguhkan... pdhl tdak pernah memposting ujaran kebencian atau sara,,, mending main ig, tiktok ataupun FB... auto uninstall aplikasi X",1
"Gua binggung padahal gk upload konten salah, upload konten juga salah padahal hua upload foto atsu video juga gak yang aneh"" kenak suspend lama"" gk ada yang main ni applikasi.. jadi penonton salah pokonya serba salah di apk satu ini. diajukan banding gk dinotice goodluck lah buat developer nya",1
parah aplikasi apa ini ga bermutu,1
gak bisa login atau buat akun,3
"bgus ya bgus,tpi iklan nya bnyak kali setiap detik iklan,gjlsss gimana mau sntai tiba"" mau puter error syg sekali bnyak kekurangan",1
enak nonton filem gay disini saya sukaaaaa ahhh,5
aplikasi ini sangat bagus dan baik untuk di gunakan tolong lepaskan akun saya yang di tangguh kan🥰,5
najis update melulu tapi tetep jelek,1
"Please help developer, I can't change my username I don't know why, I've tried changing it to a different name many times, even though I've complied with the rules that don't allow dots and other symbols, but it still doesn't work. Please help me, I hope this complaint will be processed immediately. please",1
ko nda bisa masuk tolong di bantu andmin,1
"gajelas masa ga bisa ganti username, mana kalo masuk aplikasi ga bisa login, ada kesalahan teknis katanya, begitu aja terus.",3
APK JELEKKK MANA DI SURUH BAYARR GK BISA LIAT POSTINGAN ORANG KTNYA DI TANGGUHKANN BINTANG 1,1
menurut akuu sangat baguss,5
bagus dn efisien,5
"aplikasinya si bagus. tp, kenapa dikit dikit ditangguhkn. padahal gak ngain2.",1
ini bagus bgt sih tapi aku idk,5
"aplikasi nya bagus buat cari info terbaru. Tapi sekarang jelek bngt karena akunku yang ga aku pake buat apa apa, malah ditangguhkan. Udah beberapa kali kayak gini terus. Makin kesini makin ga suka sama x. Ga buat salah aja kadang di tangguhkan. Tolong kebijaksanaan dalam mengatur x.",1
"akun tiba-tiba ditangguhkan padahal gak kenapa2, diajukan banding sama sekali gak ada tanggapan",1
ga bisa login daftar juga gabisa selalu eror pake no pake email sama aja gaada solusii minta bantuan gabisa gmna si mkin sini ko makin jelek,1
KONTOLLLLLLLL....,5
apakah akan menjadi sampah aplikasi ini. begitu di download tidak bisa di akses,1
"aplikasi minus, akun tidak melakukan kesalahan tiba tiba ditangguhkan, sedikit dikit keluar. tolong benarkan hal tersebut",1
payah gabisa login pdhal bru pertama kali,1
buagus 🙏🫡,4
"ga jelas makin di update makin ngebug parah keluar keluar sendiri aplikasinya, terus udah di update fitur video call dan call nya hilang",2
nice,5
sampai kapan pihak X akan menangguhkan akun saya semua proses banding dll sudah di lakukan namun akun saya tidak dapat di gunakan terimakasih,1
sangat baik,5
"aplikasi ga jelas, di tangguhkan tanpa alasan yang jelas, cuman dengan keterangan akun tidak autentik. sudah dibanding dan langsung dibilang kasus ditutup dan tidak bisa lagi dibanding",1
berkelass,5
aplikasi gk jelas gw buat akun untuk liat berita terkini di tangguhkan,1
👍,5
"buat akun sering bngt gagal, ""kesalahan teknis""",2
masuk ke akun sendiri dipersulit tapi tiap kali ada pemberitahuan,1
masuk ke akun sendiri malah dipersulit,1
X very good,5
"apaan baru pertama kali download tapi ga bisa masuk ga ada koneksi lah, halah pret",1
Aplikasinya bermanfaat. Semoga groknya makin cerdas,5
wow,5
"woi apa apaan main blokir akun orang,orang gak ada melanggar malah di blokir buruk banget ini apk nya",1
"Aplikasi sampah, tiba2 akun saya di suspend tanpa disertai bukti saya melanggar aturan.",1
"stupid ...akun selalu di tangguhkan padahal gk ngpa-ngpain ,padahal gunain X cuman lihat berita game dan movie yg ingin di tonton ...taiii",1
"aplikasi merepotkan, vitur yang ditawarkan tidak menarik",1
mengapa akun Saya di tangguhkan,1
"banyak berita yg kami blum tau jadi tauu,makasihh",5
salah gw ap anjirr 4 hari gw gk login X mau login kok malah dapet notiv akun anda ditangguhkan lah benjirr tolonglah lucu bgt buset dah hmm. sorry gw kasih bintang 1 gw udah ngikutin tutor di yt sama aj akun anda di tangguhkan,1
aplikasi paling bodoh sulit dibuka sekali buka langsung keluar sendiri,1
eror terus,1
sekarang gk bisa puter video ya,3
okee,5
"aplikasi paling anj, 3 kali akun diblokir sepihak, dan nggk bisa diajukan bading",1
bagus,4
APL gak jelas tiba2 akun di tangguhkan alasan melanggar peraturan,1
akun d tangguhkan padahal tidak melakukan kesalahan,1
makin ngaco,1
aplikasi bosok cuma saya menyukai vidio aja di blok,1
susah masuk,1
mantap dan membantu,5
kokgak bisa,5
"tap uninstall button.... apk mya rekomended parah.... jangan download.....! banyak orang baik...... ni apk bahaya parah, kekerasan dimana""....",5
akun sering ditangguhkan ada apa dengan X,1
kenapa gak bisa download,1
"tolong lah, akun saya tiba tiba ke suspend sendiri padahal saya ga ngapain ngapain. akun saya pun terhitung aktif karena saya sering menyukai postingan orang lain. sudah ajukan banding berkali kali tapi tidak ada respon sama sekali. dan menurut saya, saya tidak melakukan pelanggaran apapun karena akun saya sendiri bukan akun publik, tolong dibantu.",1
"jujur ini aplikasi bagus sih buat cari informasi dan sejenisnya dibandingkan dengan medsos lain, tapi entah kenapa agak gajelas juga padaha akun saya tidak pernah berinteraksi chat ataupun komentar di akun lain tetapi akun tiba-tiba ditanggungkan, dan tidak bisa dikembalikan 🥲🥲🥲",1
"Aplikasi sampah,, dikit2 musti verifikasi, dikit2 harus di banned akunnya aku udh lebih dari 5 kali buat akun dan dibanned padahal tidak pernah melakukan spam chat dll,, sampah",1
"burik, sulit login, error mulu,",1
tidak bisa masuk akun tiba-tiba login sendiri,1
"Tidak dapat login melalui aplikasi, tetapi bisa login melalui website. padahal perangkat yang saya gunakan masih bisa menggunakan versi terbaru aplikasi",1
aplikasi gk guna,1
aplikasi menyenangkan menurut saya,5
"aplikasinya bagus, tp kenapa tiba2 dmnya hilang semua 🤔 whay...??",5
susah login dan rumit. tidak simple.,1
"akun nya susah buat login,sering di minta verifikasi,sering terjadi kesalahan dan akun tiba² di tangguhkan 😪",1
aplikasi jelek kebanyakan di tangguhkan... mending cari aplikasi lain aja... jelek banget ini,1
Masih tahap pengembangan Aplikasi,4
AKUN DITANGGUHKAN. PADAHAL ENGGA ADA BUAT KESALAHAN. ANEH! COBA GILIRAN BERLANGGANAN DETIK INI PUN PASTI BISA KEBUKA..,1
Saran saya aplikasi twiter nya ada tanda on-line untuk akun pengguna nya saat aplikasi dibuka supaya kalo lagi cari teman yang lagi on-line bisa chattingan langsung kalo saya sih itu aja sarannya yg lainnya udah bagus saran saya twiter buat akun pribadi untuk yg bersifat vulgar dipisah supaya tidak dilihat secara umum,5
"x sekarang sudah kategori aplikasi sampah,masa tidak posting apa pun & tidak melakukan apa pun akun di tangguhkan. tolong periksa keluhan kami",1
"gua baru download, udh ke dowload eh pas gua pencet ""masuk"" malah bermasalah.. ga bisa ke halaman itu, pencet ""buat akun"" juga sama aja. sebenernya maunya apasih? gejlas bet.",1
"sebel banget, padahal ga kirim aneh' atau melakukan kekerasan tapi selalu akun di tanguhkan, di perbaiki lagi dong",2
sangat informatif,5
"ini kenapa nggak bisa kebuka ya? saya udah hapus data, uninstall terus download lagi, masih saja nggak bisa kebuka? tolong ya segera atasi!",1
"waah parah ini aplikasi nggak guna sampah hapus aja,klu mau msk isinya akun selalu ditangguhkan..melulu",1
"depeloper tidak kompeten, akun saya di blokir tanpa sebab apapun, saya sudah mengajukan banding namun tidak ada tanggapan, malah akun saya di blokir secara permanen, setelah saya baca pelanggaran saya karena tidak melakukan postingan apapun atau hanya menjadi pembaca, kebijakan yang mana yang saya langgar tidak di cantumkan, sedangkan saat saya baca peraturan dari aplikasi tidak ada ketentuan apapun yang sekiranya saya langgar",1
banyak sekali kekurangan dan banyak sekali eror dalam sistem,1
sy sdh pengalaman di aplikasi Twitter,5
"gabisa daftar buat akun lagi dengan informasi ""kesalahan teknisi, mencoba ulang kembali"" kaya gitu aja terus",1
sekarang banyak akun kena tangguhkan yaa Allah,1
"apk nya baguss bangett, lebih banyak mendapatkan informasi dan wawasan menarik",5
"sering keluar masuk sendiri dan tiba tiba ditangguhkan karna melanggar peraturan x, padahal saya pake x cuma ngelike postingan orang doang tapi ditangguhkan sangat aneh mending di uninstall dah.",1
tolong bantu aplikasi X,5
mantul,5
aneh saya tidak melakukan pelanggaran apapun tiba tiba akun ditangguhkan.,1
apk tolol dikit² akun ditangguhkan,1
"aplikasi kocak, gaada apa² tiba² akun gw ditangguhkan/mode baca, udah kejadian berkali-kali dari dulu gapernah ditindaklanjuti, udah ajukan banding tetep ga ada ngaruhnya",1
"X sekarang baperan dikit² ditangguhkan terus,mengajukan banding juga gak pernah di respon,udah nunggu berhari-hari gak ada balesan email apapun,gak jelas.",1
